  

Battery Voltage: 8.15
Target Velocity, Filtered Velocity, Unfiltered Velocity, Commanded Power, Actual Power, Error
0,0,0,0,0,0
85,0,0,127,-1,0
85,0,0,127,-2,0
85,0,0,127,-3,0
85,0,0,127,-4,0
85,0,0,127,-5,0
85,0,0,127,-6,0
85,0,0,127,-7,0
85,0,0,127,-9,0
85,0,0,127,-10,0
85,0,0,127,-11,0
85,0,0,127,-12,0
85,0,0,127,-13,0
85,0,0,127,-14,0
85,0,0,127,-16,0
85,0,0,127,-17,0
85,0,0,127,-18,0
85,3,0,127,-19,0
85,9,12,127,-21,0
85,12,12,127,-21,0
85,17,21,127,-23,0
85,20,27,127,-24,0
85,26,31,127,-25,0
85,23,17,127,-26,0
85,13,11,127,-28,0
85,8,9,127,-28,0
85,11,9,127,-30,0
85,17,20,127,-31,0
85,16,17,127,-32,0
85,17,17,127,-33,0
85,18,22,127,-35,0
85,22,24,127,-35,0
85,23,24,127,-37,0
85,22,24,127,-38,0
85,21,18,127,-39,0
85,19,18,127,-40,0
85,16,14,127,-42,0
85,15,14,127,-42,0
85,11,13,127,-44,0
85,11,9,127,-45,0
85,9,9,127,-46,0
85,8,9,127,-47,0
85,8,10,127,-49,0
85,11,10,127,-49,0
85,11,15,127,-51,0
85,14,15,127,-52,0
85,17,18,127,-53,0
85,18,18,127,-54,0
85,18,19,127,-56,0
85,19,21,127,-56,0
85,20,21,127,-58,0
85,20,21,127,-59,0
85,24,24,127,-60,0
85,23,23,127,-61,0
85,23,27,127,-63,0
85,25,26,127,-63,0
85,25,31,127,-65,0
85,28,30,127,-66,0
85,30,32,127,-67,0
85,30,34,127,-68,0
85,33,35,127,-70,0
85,33,36,127,-70,0
85,34,37,127,-72,0
85,34,38,127,-73,0
85,38,39,127,-74,0
85,38,39,127,-75,0
85,39,40,127,-76,0
85,39,42,127,-77,0
85,40,44,127,-79,0
85,41,47,127,-80,0
85,44,47,127,-81,0
85,46,48,127,-82,0
85,46,48,127,-83,0
85,48,51,127,-84,0
85,48,52,127,-86,0
85,50,55,127,-87,0
85,52,55,127,-88,0
85,54,55,127,-89,0
85,53,57,127,-90,0
85,58,59,127,-91,0
85,57,58,127,-93,0
85,56,59,127,-94,0
85,58,61,127,-95,0
85,59,64,127,-96,0
85,61,65,127,-97,0
85,64,66,127,-98,0
85,63,64,127,-100,0
85,63,69,127,-101,0
85,64,70,127,-102,0
85,68,70,127,-103,0
85,69,69,127,-104,0
85,68,70,127,-105,0
85,68,71,127,-107,0
85,69,71,127,-108,0
85,70,73,127,-109,0
85,70,76,127,-110,0
85,72,75,127,-111,0
85,75,74,127,-112,0
85,73,73,127,-114,0
85,73,80,127,-115,0
85,76,80,127,-116,0
85,78,76,75,-116,6
85,75,76,75,-116,9
85,75,83,127,-75,9
85,80,77,127,-77,9
85,78,74,75,-77,6
85,75,79,75,-77,9
85,77,82,127,-76,9
85,77,74,75,-76,7
85,76,75,75,-76,8
85,76,84,75,-76,8
85,78,80,75,-76,6
85,79,80,75,-76,5
85,79,84,75,-76,5
85,80,86,75,-76,4
85,83,85,75,-76,1
85,82,84,75,-76,2
85,83,85,75,-76,1
85,83,86,75,-76,1
85,83,87,75,-76,1
85,84,84,75,-76,0
85,83,84,75,-76,1
85,82,84,75,-76,2
85,83,87,75,-76,1
85,87,90,75,-76,-2
85,87,85,75,-76,-2
85,85,88,75,-76,0
85,85,87,75,-76,0
85,86,85,75,-76,-1
85,85,87,75,-76,0
85,85,87,75,-76,0
85,86,87,75,-76,-1
85,85,87,75,-76,0
85,86,89,75,-76,-1
85,87,87,75,-76,-2
85,85,85,75,-76,0
85,85,90,75,-76,0
85,88,85,75,-76,-3
85,86,86,75,-76,-1
85,83,89,75,-76,1
85,85,89,75,-76,0
85,88,90,75,-76,-3
85,86,92,75,-76,-1
85,89,92,75,-76,-4
85,90,87,75,-76,-5
85,87,90,75,-76,-2
85,89,87,75,-76,-4
85,87,86,75,-76,-2
85,85,87,75,-76,0
85,86,90,75,-76,-1
85,87,88,75,-76,-2
85,86,87,75,-76,-1
85,86,91,75,-76,-1
85,89,88,75,-76,-4
85,88,89,75,-76,-3
85,88,87,75,-76,-3
85,86,89,75,-76,-1
85,87,90,75,-76,-2
85,87,93,75,-76,-2
85,91,92,75,-76,-6
85,90,91,74,-74,-5
85,88,93,74,-74,-3
85,90,88,74,-74,-5
85,89,89,74,-74,-4
85,86,89,74,-74,-1
85,89,89,74,-74,-4
85,88,89,74,-74,-3
85,88,90,74,-74,-3
85,88,89,74,-74,-3
85,88,90,74,-74,-3
85,86,91,74,-74,-1
85,90,87,74,-74,-5
85,87,87,74,-74,-2
85,85,90,74,-74,0
85,88,93,74,-74,-3
85,88,91,74,-74,-3
85,92,93,74,-74,-7
85,91,91,74,-74,-6
85,90,91,74,-74,-5
85,90,90,74,-74,-5
85,89,89,74,-74,-4
85,88,89,74,-74,-3
85,90,92,74,-74,-5
85,89,92,74,-74,-4
85,88,88,74,-74,-3
85,86,91,74,-74,-1
85,91,91,74,-74,-6
85,89,89,74,-74,-4
85,88,88,74,-74,-3
85,88,89,74,-74,-3
85,88,89,74,-74,-3
85,87,93,74,-74,-2
