Battery Voltage: 7.92
Target Velocity, Filtered Velocity, Unfiltered Velocity, Commanded Power, Actual Power, Error
0,0,0,0,0,0
85,0,0,127,0,0
85,0,0,127,2,0
85,0,0,127,3,0
85,0,0,127,4,0
85,0,0,127,5,0
85,0,0,127,6,0
85,0,0,127,7,0
85,0,0,127,9,0
85,0,0,127,9,0
85,0,0,127,11,0
85,0,0,127,12,0
85,0,0,127,13,0
85,0,0,127,14,0
85,0,0,127,16,0
85,0,0,127,16,0
85,0,0,127,18,0
85,1,0,127,19,0
85,6,0,127,20,0
85,10,0,127,21,0
85,13,17,127,23,0
85,18,24,127,23,0
85,23,28,127,25,0
85,27,33,127,26,0
85,29,33,127,27,0
85,24,17,127,28,0
85,18,15,127,30,0
85,20,25,127,30,0
85,24,33,127,32,0
85,30,31,127,33,0
85,27,23,127,34,0
85,24,23,127,35,0
85,20,16,127,37,0
85,17,16,127,37,0
85,14,12,127,39,0
85,13,11,127,40,0
85,10,11,127,41,0
85,12,11,127,42,0
85,12,11,127,44,0
85,11,11,127,44,0
85,9,10,127,46,0
85,6,8,127,47,0
85,10,8,127,48,0
85,13,16,127,49,0
85,14,16,127,51,0
85,16,17,127,51,0
85,18,20,127,53,0
85,20,20,127,54,0
85,18,19,127,55,0
85,20,21,127,56,0
85,19,21,127,57,0
85,22,22,127,58,0
85,23,24,127,60,0
85,23,26,127,60,0
85,26,28,127,62,0
85,26,27,127,63,0
85,27,30,127,64,0
85,28,31,127,65,0
85,30,32,127,67,0
85,31,33,127,67,0
85,31,35,127,69,0
85,35,36,127,70,0
85,36,39,127,71,0
85,37,37,127,72,0
85,36,38,127,74,0
85,38,39,127,74,0
85,37,41,127,76,0
85,40,43,127,77,0
85,40,45,127,78,0
85,43,45,127,79,0
85,43,47,127,81,0
85,45,49,127,81,0
85,46,50,127,83,0
85,50,51,127,84,0
85,48,51,127,85,0
85,51,54,127,86,0
85,51,55,127,88,0
85,53,58,127,88,0
85,54,60,127,90,0
85,58,60,127,91,0
85,59,59,127,92,0
85,57,58,127,93,0
85,58,62,127,95,0
85,61,63,127,95,0
85,60,62,127,97,0
85,60,62,127,98,0
85,62,64,127,99,0
85,63,66,127,100,0
85,63,66,127,102,0
85,65,66,127,102,0
85,64,70,127,104,0
85,65,72,127,105,0
85,70,71,127,106,0
85,69,69,127,107,0
85,69,72,127,109,0
85,70,75,127,109,0
85,72,75,127,111,0
85,73,71,127,112,0
85,71,77,127,113,0
85,74,79,127,114,0
85,75,78,127,116,0
85,77,79,127,116,0
85,77,81,75,116,7
85,78,81,75,116,6
85,79,79,75,116,5
85,78,82,75,116,6
85,80,82,75,116,4
85,80,80,75,116,4
85,78,80,75,116,6
85,79,82,75,116,5
85,80,85,75,116,4
85,82,83,75,116,2
85,81,83,75,116,3
85,82,86,75,116,2
85,83,86,75,116,1
85,85,85,75,116,0
85,84,87,75,116,0
85,84,85,75,116,0
85,84,90,75,116,0
85,86,91,75,116,-1
85,87,89,75,116,-2
85,89,89,75,116,-4
85,87,91,75,116,-2
85,89,91,75,116,-4
85,89,87,75,116,-4
85,88,92,75,116,-3
85,88,89,75,116,-3
85,88,91,75,116,-3
85,88,91,75,116,-3
85,91,91,74,74,-6
85,89,82,74,74,-4
85,87,83,74,74,-2
85,85,87,75,75,0
85,85,82,75,75,0
85,84,79,75,75,0
85,82,84,75,75,2
85,81,87,75,75,3
85,84,91,75,75,0
85,86,91,75,75,-1
85,89,91,75,75,-4
85,88,91,74,74,-3
85,90,92,74,74,-5
85,90,90,74,74,-5
85,91,89,74,74,-6
85,89,94,74,74,-4
85,90,93,74,74,-5
85,93,91,74,74,-8
85,90,94,74,74,-5
85,91,94,74,74,-6
85,91,91,74,74,-6
85,91,91,74,74,-6
85,90,90,74,74,-5
85,90,94,74,74,-5
85,91,94,74,74,-6
85,91,94,74,74,-6
85,93,93,74,74,-8
85,92,96,74,74,-7
85,94,91,73,73,-9
85,93,91,73,73,-8
85,90,91,73,73,-5
85,89,92,73,73,-4
85,92,91,73,73,-7
85,90,92,73,73,-5
85,89,90,73,73,-4
85,90,93,73,73,-5
85,91,91,73,73,-6
85,89,88,73,73,-4
85,90,88,73,73,-5
85,87,93,73,73,-2
85,87,91,73,73,-2
85,91,92,73,73,-6
85,89,93,73,73,-4
85,90,93,73,73,-5
85,93,91,73,73,-8
85,90,91,73,73,-5
85,91,89,73,73,-6
85,91,89,73,73,-6
85,89,93,72,72,-4
85,90,91,72,72,-5
85,91,90,72,72,-6
85,89,93,72,72,-4
85,89,93,72,72,-4
85,92,89,72,72,-7
85,90,89,72,72,-5
85,87,88,72,72,-2
85,89,92,72,72,-4
85,88,92,72,72,-3
85,90,92,72,72,-5
85,91,91,72,72,-6
85,91,93,72,72,-6
85,89,89,72,72,-4
85,90,89,72,72,-5
85,89,91,72,72,-4
85,88,91,72,72,-3
85,90,89,72,72,-5
85,90,91,72,72,-5
85,87,89,72,72,-2
85,89,89,72,72,-4
85,88,92,72,72,-3
85,88,87,72,72,-3
85,90,87,71,71,-5
85,87,91,71,71,-2
85,87,92,71,71,-2
85,91,90,71,71,-6
85,90,93,71,71,-5
85,89,91,71,71,-4
85,92,91,71,71,-7
85,90,89,71,71,-5
85,89,89,71,71,-4
85,86,89,71,71,-1
85,89,91,71,71,-4
85,88,89,71,71,-3
85,90,87,71,71,-5
85,88,90,71,71,-3
85,88,91,71,71,-3
85,90,90,71,71,-5
85,89,86,71,71,-4
85,86,88,71,71,-1
85,87,89,71,71,-2
85,87,93,71,71,-2
85,87,90,71,71,-2
85,91,91,71,71,-6
85,90,91,71,71,-5
85,89,91,71,71,-4
85,90,89,71,71,-5
85,89,87,71,71,-4
85,88,91,70,70,-3
85,90,89,70,70,-5
85,87,89,70,70,-2
85,87,88,70,70,-2
85,88,89,70,70,-3
85,87,89,70,70,-2
85,87,89,70,70,-2
85,88,85,70,70,-3
85,87,87,70,70,-2
85,85,91,72,71,0
85,87,89,72,72,-2
85,89,91,72,72,-4
85,88,91,72,72,-3
85,88,92,72,72,-3
85,92,89,72,72,-7
85,90,89,72,72,-5
85,87,88,72,72,-2
85,89,87,72,72,-4
85,86,92,72,72,-1
85,89,89,72,72,-4
85,88,88,72,72,-3
85,88,90,72,72,-3
85,86,91,72,72,-1
85,91,89,72,72,-6
85,87,88,72,72,-2
85,86,88,71,71,-1
85,88,88,71,71,-3
85,86,92,71,71,-1
85,89,90,71,71,-4
85,90,91,71,71,-5
85,89,90,71,71,-4
85,88,90,71,71,-3
85,90,85,71,71,-5
85,87,87,71,71,-2
85,87,89,71,71,-2
85,87,87,71,71,-2
85,87,88,71,71,-2
85,86,87,71,71,-1
85,88,88,71,71,-3
85,86,89,71,71,-1
85,87,89,71,71,-2
85,87,85,71,71,-2
85,86,86,71,71,-1
85,86,92,71,71,-1
85,87,90,71,71,-2
85,89,91,71,71,-4
85,87,91,71,71,-2
85,91,91,71,71,-6
85,89,89,71,71,-4
85,89,89,71,71,-4
85,88,88,71,71,-3
85,88,87,71,71,-3
85,86,91,71,71,-1
85,89,87,71,71,-4
85,88,87,71,71,-3
85,86,89,71,71,-1
85,89,90,71,71,-4
85,88,89,71,71,-3
85,86,86,71,71,-1
85,87,87,71,71,-2
85,85,87,71,71,0
85,88,92,71,71,-3
85,88,89,71,71,-3
85,88,89,71,71,-3
85,88,90,71,71,-3
85,89,89,71,71,-4
85,88,87,71,71,-3
85,86,86,71,71,-1
85,89,89,71,71,-4
85,86,87,71,71,-1
85,87,89,71,71,-2
85,87,87,71,71,-2
85,87,87,71,71,-2
85,86,90,71,71,-1
85,88,89,71,71,-3
85,88,85,71,71,-3
85,84,86,71,71,0
85,86,91,71,71,-1
85,87,89,71,71,-2
85,89,90,71,71,-4
85,88,91,71,71,-3
85,90,91,71,71,-5
85,89,90,71,71,-4
85,88,88,71,71,-3
85,88,87,71,71,-3
85,88,87,71,71,-3
85,87,91,71,71,-2
85,87,87,71,71,-2
85,86,87,71,71,-1
85,86,90,71,71,-1
85,87,89,71,71,-2
85,87,88,71,71,-2
85,85,85,71,71,0
85,87,87,71,71,-2
85,85,88,71,71,0
85,88,91,71,71,-3
85,88,92,71,71,-3
85,88,89,71,71,-3
85,90,91,71,71,-5
85,88,90,71,71,-3
85,88,87,70,70,-3
85,88,87,70,70,-3
85,88,89,70,70,-3
85,86,87,70,70,-1
85,89,87,70,70,-4
85,86,88,70,70,-1
85,85,86,70,70,0
85,88,89,70,70,-3
85,86,88,70,70,-1
85,87,84,70,70,-2
85,83,85,70,70,1
85,85,89,70,70,0
85,85,91,70,70,0
85,86,88,70,70,-1
85,89,91,70,70,-4
85,88,90,70,70,-3
85,90,90,70,70,-5
85,88,89,70,70,-3
85,86,86,70,70,-1
85,89,88,70,70,-4
85,86,89,70,70,-1
85,85,90,70,70,0
85,88,85,70,70,-3
