Battery Voltage: 7.80
Target Velocity, Filtered Velocity, Unfiltered Velocity, Motor Power, Error
0,0,0,0,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,1,0,127,0
85,2,0,127,0
85,5,0,127,0
85,6,0,127,0
85,8,0,127,0
85,12,13,127,0
85,17,20,127,0
85,21,25,127,0
85,22,27,127,0
85,23,27,127,0
85,15,14,127,0
85,13,11,127,0
85,19,26,127,0
85,22,25,127,0
85,22,25,127,0
85,22,22,127,0
85,25,28,127,0
85,25,27,127,0
85,25,19,127,0
85,20,17,127,0
85,15,17,127,0
85,15,12,127,0
85,11,12,127,0
85,11,12,127,0
85,9,10,127,0
85,10,10,127,0
85,10,10,127,0
85,7,9,127,0
85,7,8,127,0
85,9,8,127,0
85,14,15,127,0
85,15,15,127,0
85,16,17,127,0
85,18,20,127,0
85,19,20,127,0
85,18,19,127,0
85,21,21,127,0
85,20,21,127,0
85,19,21,127,0
85,22,25,127,0
85,25,26,127,0
85,25,27,127,0
85,27,28,127,0
85,26,30,127,0
85,28,32,127,0
85,32,32,127,0
85,32,34,127,0
85,31,34,127,0
85,34,36,127,0
85,35,37,127,0
85,35,38,127,0
85,37,39,127,0
85,38,40,127,0
85,39,42,127,0
85,41,43,127,0
85,41,45,127,0
85,43,45,127,0
85,43,46,127,0
85,45,48,127,0
85,45,49,127,0
85,47,49,127,0
85,47,52,127,0
85,50,53,127,0
85,51,56,127,0
85,53,57,127,0
85,55,58,127,0
85,55,58,127,0
85,57,56,127,0
85,55,59,127,0
85,57,62,127,0
85,60,63,127,0
85,59,61,127,0
85,61,62,127,0
85,60,66,127,0
85,62,68,127,0
85,64,67,127,0
85,66,69,127,0
85,68,71,127,0
85,67,71,127,0
85,70,70,127,0
85,69,71,127,0
85,68,75,127,0
85,73,73,127,0
85,72,71,75,12
85,71,71,75,13
85,71,77,75,13
85,72,80,75,12
85,76,75,75,8
85,75,76,75,9
85,74,80,75,10
85,77,79,75,7
85,79,79,75,5
85,77,81,75,7
85,77,80,75,7
85,78,79,75,6
85,79,85,76,5
85,81,87,76,3
85,82,75,76,2
85,78,75,76,6
85,77,81,76,7
85,78,81,76,6
85,79,74,76,5
85,77,76,76,7
85,75,82,76,9
85,78,80,76,6
85,79,81,76,5
85,81,85,76,3
85,81,84,76,3
85,84,85,75,0
85,82,87,75,2
85,83,87,76,1
85,85,84,76,0
85,84,84,76,0
85,82,87,76,2
85,85,89,76,0
85,86,88,76,-1
85,87,90,75,-2
85,87,87,75,-2
85,87,87,75,-2
85,85,89,75,0
85,87,86,75,-2
85,87,85,75,-2
85,83,85,75,1
85,84,89,75,0
85,87,87,75,-2
85,86,85,75,-1
85,83,88,75,1
85,87,87,75,-2
85,85,86,75,0
85,85,85,75,0
85,84,85,75,0
85,84,89,75,0
85,84,90,75,0
85,87,89,75,-2
85,88,89,75,-3
85,89,90,75,-4
85,89,89,75,-4
85,86,85,75,-1
85,85,89,75,0
85,88,87,75,-3
85,86,89,75,-1
85,87,88,75,-2
85,87,87,75,-2
85,85,87,75,0
85,85,88,75,0
85,88,89,75,-3
85,86,84,75,-1
85,85,89,75,0
85,86,89,75,-1
85,87,89,75,-2
85,87,91,75,-2
85,89,91,75,-4
85,88,91,75,-3
85,88,87,75,-3
85,90,89,75,-5
85,87,87,75,-2
85,87,89,75,-2
85,87,90,75,-2
85,87,88,75,-2
85,86,87,75,-1
85,88,89,75,-3
85,86,90,75,-1
85,87,87,75,-2
85,87,87,75,-2
85,87,87,75,-2
85,86,87,75,-1
85,86,92,75,-1
85,89,91,75,-4
85,88,91,75,-3
85,88,90,75,-3
85,90,90,75,-5
85,89,87,75,-4
85,88,89,75,-3
85,88,90,75,-3
85,86,87,75,-1
85,87,89,75,-2
85,87,88,75,-2
85,87,88,75,-2
85,87,90,75,-2
85,88,89,74,-3
85,88,85,74,-3
85,87,86,74,-2
85,86,91,74,-1
85,88,89,74,-3
85,88,91,74,-3
85,88,91,74,-3
85,88,91,74,-3
85,88,89,74,-3
85,89,90,74,-4
85,89,87,74,-4
85,88,89,74,-3
85,88,90,74,-3
85,86,89,74,-1
85,87,88,74,-2
85,89,89,74,-4
85,88,91,74,-3
85,90,87,74,-5
85,86,88,74,-1
85,86,87,74,-1
85,84,88,74,0
85,88,92,74,-3
85,90,90,74,-5
85,90,91,74,-5
85,89,91,74,-4
85,88,91,74,-3
85,88,86,74,-3
85,88,90,74,-3
85,88,88,74,-3
85,87,90,74,-2
85,89,90,74,-4
85,87,88,74,-2
85,89,89,74,-4
85,86,90,74,-1
85,87,90,74,-2
85,89,84,74,-4
85,87,89,74,-2
85,85,89,74,0
85,88,90,74,-3
85,90,91,74,-5
85,89,91,74,-4
85,88,91,74,-3
85,90,89,74,-5
85,88,89,74,-3
85,90,87,74,-5
85,87,89,74,-2
85,86,90,74,-1
85,90,89,74,-5
85,87,88,74,-2
85,87,89,74,-2
85,87,91,74,-2
85,88,88,74,-3
85,88,87,74,-3
85,86,87,74,-1
85,87,88,74,-2
85,87,91,74,-2
85,87,91,74,-2
85,91,91,74,-6
85,90,92,74,-5
85,89,91,74,-4
85,92,87,73,-7
85,88,90,73,-3
85,88,88,73,-3
85,87,90,73,-2
85,86,88,73,-1
85,88,88,73,-3
85,88,89,73,-3
85,86,89,73,-1
