  

Battery Voltage: 8.63
Target Velocity, Filtered Velocity, Unfiltered Velocity, Motor Power, Error
0,0,0,0,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,1,0,127,0
85,0,0,127,0
85,4,0,127,0
85,5,0,127,0
85,6,0,127,0
85,10,13,127,0
85,13,13,127,0
85,16,16,127,0
85,12,16,127,0
85,6,11,127,0
85,7,8,127,0
85,12,8,127,0
85,12,8,127,0
85,6,8,127,0
85,4,7,127,0
85,8,7,127,0
85,9,7,127,0
85,10,11,127,0
85,10,11,127,0
85,13,15,127,0
85,13,15,127,0
85,16,16,127,0
85,14,16,127,0
85,14,14,127,0
85,13,12,127,0
85,12,12,127,0
85,7,11,127,0
85,8,8,127,0
85,4,6,127,0
85,2,5,127,0
85,1,4,127,0
85,0,3,127,0
85,0,3,127,0
85,0,3,127,0
85,0,2,127,0
85,0,2,127,0
85,0,2,127,0
85,1,2,127,0
85,6,2,127,0
85,3,2,127,0
85,3,2,127,0
85,5,2,127,0
85,8,6,127,0
85,8,6,127,0
85,4,6,127,0
85,5,6,127,0
85,2,6,127,0
85,5,5,127,0
85,6,4,127,0
85,3,4,127,0
85,5,4,127,0
85,10,13,127,0
85,11,13,127,0
85,10,13,127,0
85,9,10,127,0
85,10,10,127,0
85,12,10,127,0
85,12,13,127,0
85,13,13,127,0
85,12,13,127,0
85,15,13,127,0
85,15,17,127,0
85,15,17,127,0
85,17,17,127,0
85,18,19,127,0
85,20,22,127,0
85,20,22,127,0
85,21,22,127,0
85,21,23,127,0
85,22,23,127,0
85,22,23,127,0
85,23,23,127,0
85,24,24,127,0
85,23,25,127,0
85,24,27,127,0
85,25,29,127,0
85,27,30,127,0
85,29,30,127,0
85,28,32,127,0
85,32,32,127,0
85,30,33,127,0
85,33,33,127,0
85,33,34,127,0
85,33,35,127,0
85,35,38,127,0
85,35,37,127,0
85,35,40,127,0
85,37,40,127,0
85,38,40,127,0
85,39,41,127,0
85,39,41,127,0
85,41,42,127,0
85,40,42,127,0
85,42,43,127,0
85,42,42,127,0
85,41,43,127,0
85,41,45,127,0
85,43,45,127,0
85,44,45,127,0
85,44,45,127,0
85,44,45,127,0
85,44,46,127,0
85,45,48,127,0
85,46,49,127,0
85,48,51,127,0
85,50,51,127,0
85,48,49,127,0
85,48,50,127,0
85,48,51,127,0
85,51,52,127,0
85,50,53,127,0
85,53,53,127,0
85,52,55,127,0
85,53,56,127,0
85,53,56,127,0
85,55,55,127,0
85,54,56,127,0
85,54,58,127,0
85,57,60,127,0
85,58,61,127,0
85,60,60,127,0
85,60,58,127,0
85,58,59,127,0
85,57,62,127,0
85,61,63,127,0
85,61,62,127,0
85,62,61,127,0
85,62,62,127,0
85,61,63,127,0
85,62,62,127,0
85,60,63,127,0
85,62,67,127,0
85,63,66,127,0
85,64,64,127,0
85,64,63,127,0
85,64,66,127,0
85,63,69,127,0
85,66,70,127,0
85,65,64,127,0
85,67,66,127,0
85,66,70,127,0
85,66,71,127,0
85,70,70,127,0
85,67,72,127,0
85,70,72,127,0
85,71,71,127,0
85,70,69,75,14
85,69,71,127,14
85,69,66,127,14
85,68,63,127,14
85,64,64,127,14
85,65,65,127,14
85,64,69,127,14
85,66,75,127,14
85,68,75,127,14
85,71,74,127,14
85,73,76,75,11
85,75,78,75,9
85,74,76,75,10
85,73,75,75,11
85,76,73,75,8
85,74,72,75,10
85,72,75,75,12
85,73,78,75,11
85,74,78,75,10
85,74,73,76,10
85,75,70,76,9
85,72,74,76,12
85,71,74,76,13
85,73,71,76,11
85,70,69,76,14
85,70,72,127,14
85,70,76,127,14
85,71,75,127,14
85,72,79,76,12
85,76,78,76,8
85,76,77,76,8
85,78,77,76,6
85,75,79,77,9
85,76,80,77,8
85,77,72,77,7
85,75,75,77,9
85,74,78,77,10
85,73,77,77,11
85,76,77,77,8
85,76,80,77,8
85,76,79,77,8
85,78,76,77,6
85,77,79,77,7
85,75,80,77,9
85,79,76,77,5
85,77,74,78,7
85,75,76,78,9
85,75,81,78,9
85,78,76,78,6
85,79,75,78,5
85,76,80,78,8
85,76,79,78,8
85,75,78,78,9
85,77,77,78,7
85,76,77,78,8
85,75,77,78,9
85,77,79,78,7
85,77,81,78,7
85,78,81,79,6
85,79,78,79,5
85,78,80,79,6
85,78,81,79,6
85,79,80,79,5
85,78,76,79,6
85,77,78,79,7
85,78,79,79,6
85,77,78,79,7
85,76,80,79,8
85,78,78,79,6
85,77,77,79,7
85,75,78,79,9
85,77,81,79,7
85,79,80,79,5
85,77,76,80,7
85,77,80,80,7
85,78,82,80,6
85,79,81,80,5
85,79,80,80,5
85,80,81,80,4
85,80,81,80,4
85,80,78,80,4
85,78,81,80,6
85,79,80,80,5
85,79,76,80,5
85,77,78,80,7
85,76,81,80,8
85,79,82,80,5
85,79,76,80,5
85,78,80,80,6
85,79,81,80,5
85,80,80,80,4
85,78,80,80,6
85,79,79,81,5
85,77,79,81,7
85,78,81,81,6
85,79,84,81,5
85,81,84,81,3
85,81,80,81,3
85,78,82,81,6
85,81,84,81,3
85,81,79,81,3
85,82,78,81,2
85,79,81,81,5
85,78,81,81,6
85,80,80,81,4
85,79,80,81,5
85,80,81,81,4
85,79,78,81,5
85,77,80,81,7
85,77,85,81,7
85,82,78,81,2
85,79,78,81,5
85,78,83,81,6
85,80,82,82,4
85,80,81,82,4
85,80,84,82,4
85,81,84,82,3
85,83,81,82,1
85,80,83,82,4
85,82,83,82,2
85,82,79,82,2
85,80,80,82,4
85,78,83,82,6
85,80,84,82,4
85,81,79,82,3
85,80,80,82,4
85,80,82,82,4
85,80,81,82,4
85,80,82,82,4
85,82,80,82,2
85,79,81,82,5
85,80,82,82,4
85,79,85,82,5
85,81,84,82,3
85,83,81,82,1
85,81,84,82,3
85,81,85,82,3
85,84,83,79,0
85,82,79,79,2
85,79,79,79,5
85,79,81,79,5
85,82,81,79,2
85,78,82,79,6
85,81,81,79,3
85,80,80,79,4
85,79,81,79,5
85,77,86,80,7
85,82,79,80,2
85,81,80,80,3
85,80,85,80,4
85,82,84,80,2
85,81,84,80,3
85,81,84,80,3
85,84,84,80,0
85,82,81,80,2
