Battery Voltage: 8.45
Target Velocity, Filtered Velocity, Unfiltered Velocity, Motor Power, Error
0,0,0,0,0
85,-2,0,127,0
85,-1,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,1,0,127,0
85,0,0,127,0
85,2,0,127,0
85,4,0,127,0
85,8,0,127,0
85,9,14,127,0
85,12,14,127,0
85,16,20,127,0
85,21,25,127,0
85,24,29,127,0
85,26,20,127,0
85,18,15,127,0
85,15,15,127,0
85,18,19,127,0
85,23,28,127,0
85,23,23,127,0
85,22,26,127,0
85,26,32,127,0
85,30,32,127,0
85,28,27,127,0
85,27,24,127,0
85,21,17,127,0
85,17,17,127,0
85,12,12,127,0
85,10,8,127,0
85,8,8,127,0
85,8,8,127,0
85,7,8,127,0
85,7,8,127,0
85,7,7,127,0
85,7,7,127,0
85,9,7,127,0
85,6,7,127,0
85,3,6,127,0
85,7,6,127,0
85,9,6,127,0
85,10,11,127,0
85,10,11,127,0
85,12,14,127,0
85,14,14,127,0
85,13,15,127,0
85,15,15,127,0
85,13,14,127,0
85,14,14,127,0
85,14,16,127,0
85,17,16,127,0
85,17,17,127,0
85,16,19,127,0
85,19,19,127,0
85,19,19,127,0
85,18,22,127,0
85,21,22,127,0
85,20,21,127,0
85,21,24,127,0
85,22,23,127,0
85,22,22,127,0
85,23,25,127,0
85,24,25,127,0
85,26,28,127,0
85,27,28,127,0
85,27,27,127,0
85,26,31,127,0
85,29,29,127,0
85,29,30,127,0
85,29,31,127,0
85,30,34,127,0
85,31,35,127,0
85,33,34,127,0
85,34,36,127,0
85,35,36,127,0
85,35,34,127,0
85,34,34,127,0
85,35,36,127,0
85,34,37,127,0
85,37,38,127,0
85,36,39,127,0
85,38,40,127,0
85,39,40,127,0
85,39,40,127,0
85,39,41,127,0
85,39,43,127,0
85,41,44,127,0
85,42,46,127,0
85,43,47,127,0
85,45,45,127,0
85,44,45,127,0
85,44,46,127,0
85,46,47,127,0
85,47,48,127,0
85,46,48,127,0
85,48,49,127,0
85,47,50,127,0
85,49,51,127,0
85,50,52,127,0
85,51,50,127,0
85,51,52,127,0
85,51,53,127,0
85,50,56,127,0
85,52,57,127,0
85,56,57,127,0
85,56,55,127,0
85,54,55,127,0
85,56,56,127,0
85,54,58,127,0
85,56,59,127,0
85,58,58,127,0
85,57,56,127,0
85,58,57,127,0
85,57,58,127,0
85,57,58,127,0
85,56,60,127,0
85,57,63,127,0
85,59,63,127,0
85,61,61,127,0
85,62,59,127,0
85,59,61,127,0
85,59,63,127,0
85,60,66,127,0
85,62,64,127,0
85,64,60,127,0
85,61,64,127,0
85,63,67,127,0
85,64,67,127,0
85,65,66,127,0
85,65,68,127,0
85,66,69,127,0
85,66,69,127,0
85,67,66,127,0
85,66,68,127,0
85,67,69,127,0
85,66,67,127,0
85,69,64,127,0
85,65,65,127,0
85,63,68,127,0
85,67,73,127,0
85,68,71,127,0
85,70,68,127,0
85,68,70,127,0
85,69,71,127,0
85,69,71,127,0
85,69,71,127,0
85,70,71,127,0
85,70,71,127,0
85,71,70,127,0
85,70,74,75,14
85,69,76,127,14
85,74,75,127,14
85,74,64,75,10
85,66,69,75,18
85,67,71,127,18
85,68,72,127,18
85,69,67,127,18
85,66,70,127,18
85,69,74,127,18
85,69,75,127,18
85,72,74,127,18
85,73,80,75,11
85,74,78,75,10
85,77,75,75,7
85,75,74,75,9
85,74,78,75,10
85,75,78,75,9
85,77,72,75,7
85,74,74,76,10
85,73,76,76,11
85,74,74,76,10
85,71,71,76,13
85,72,73,76,12
85,72,73,76,12
85,71,74,76,13
85,73,73,76,11
85,74,78,76,10
85,74,77,77,10
85,74,73,77,10
85,75,75,77,9
85,74,80,77,10
85,75,80,77,9
85,77,75,77,7
85,75,75,77,9
85,74,77,77,10
85,77,76,77,7
85,74,75,77,10
85,74,75,77,10
85,76,76,78,8
85,74,74,78,10
85,72,78,78,12
85,76,82,78,8
85,77,80,78,7
85,79,75,78,5
85,77,78,78,7
85,77,80,78,7
85,76,75,78,8
85,75,74,78,9
85,75,77,78,9
85,77,77,78,7
85,75,75,78,9
85,75,78,79,9
85,74,76,79,10
85,77,73,79,7
85,75,76,79,9
85,74,79,79,10
85,76,79,79,8
85,76,74,79,8
85,75,78,79,9
85,77,79,79,7
85,76,78,79,8
85,77,78,79,7
85,75,79,80,9
85,77,78,80,7
85,78,75,80,6
85,77,79,80,7
85,77,79,80,7
85,76,74,80,8
85,76,74,80,8
85,72,75,80,12
85,75,81,80,9
85,77,76,80,7
85,76,74,80,8
85,75,79,80,9
85,77,79,80,7
85,75,77,81,9
85,77,77,81,7
85,75,78,81,9
85,77,77,81,7
85,75,79,81,9
85,77,82,81,7
85,79,81,81,5
85,79,78,81,5
85,77,79,81,7
85,78,81,81,6
85,78,79,81,6
85,80,75,81,4
85,76,77,81,8
85,75,77,81,9
85,77,77,82,7
85,75,79,82,9
85,76,79,82,8
85,77,77,82,7
85,77,77,82,7
85,75,81,82,9
85,79,81,82,5
85,78,75,82,6
85,78,78,82,6
85,78,80,82,6
85,76,81,82,8
85,77,80,82,7
85,80,80,82,4
85,78,80,82,6
85,78,78,82,6
85,78,80,83,6
85,78,80,83,6
85,78,76,83,6
85,77,78,83,7
85,77,80,83,7
85,76,82,83,8
85,80,78,83,4
85,78,78,83,6
85,77,79,83,7
85,78,78,83,6
85,77,80,83,7
85,77,79,83,7
85,78,78,83,6
85,79,77,83,5
85,76,82,83,8
85,79,81,83,5
85,80,79,83,4
85,79,81,84,5
85,81,82,84,3
85,79,81,84,5
85,79,81,84,5
85,81,80,84,3
85,79,80,84,5
85,79,79,84,5
85,78,82,84,6
85,79,79,84,5
85,80,78,84,4
85,77,78,84,7
85,76,81,84,8
85,79,82,84,5
85,81,77,84,3
85,78,80,84,6
85,76,82,84,8
85,81,82,84,3
85,79,82,84,5
85,80,81,84,4
85,80,82,84,4
85,81,80,85,3
85,79,83,85,5
85,81,82,85,3
85,80,78,85,4
85,79,80,85,5
85,81,82,85,3
85,81,84,85,3
85,80,79,85,4
85,80,80,85,4
85,80,82,85,4
85,80,82,85,4
85,80,80,85,4
85,80,80,85,4
85,78,80,85,6
85,81,82,85,3
85,80,87,85,4
85,81,84,85,3
85,84,81,81,0
85,82,83,81,2
85,81,84,81,3
85,81,79,81,3
85,80,76,81,4
85,78,79,81,6
85,78,84,81,6
85,82,81,81,2
85,80,79,81,4
85,78,85,81,6
85,79,87,81,5
85,83,80,81,1
85,82,81,81,2
85,81,79,81,3
85,79,80,81,5
85,78,78,81,6
85,77,74,82,7
85,76,71,82,8
85,73,72,82,11
85,72,75,82,12
85,73,74,82,11
85,72,71,82,12
85,71,74,82,13
85,73,75,82,11
85,73,75,82,11
85,73,74,83,11
85,74,74,83,10
85,73,76,83,11
85,75,73,83,9
85,73,79,83,11
85,75,80,83,9
85,77,74,83,7
85,75,74,83,9
85,74,78,83,10
85,73,78,83,11
85,76,75,83,8
85,74,73,84,10
85,75,74,84,9
85,73,76,84,11
85,74,76,84,10
85,76,79,84,8
85,76,76,84,8
85,74,77,84,10
85,76,77,84,8
85,75,79,84,9
85,76,79,84,8
85,78,75,84,6
85,75,77,85,9
85,76,79,85,8
85,77,80,85,7
85,77,80,85,7
85,78,79,85,6
85,78,80,85,6
85,78,78,85,6
85,77,80,85,7
85,77,80,85,7
85,80,75,85,4
85,77,77,85,7
85,76,80,85,8
85,77,82,85,7
85,78,78,85,6
85,79,78,85,5
85,78,80,86,6
85,77,80,86,7
85,79,82,86,5
85,79,81,86,5
85,79,80,86,5
85,78,80,86,6
85,80,85,86,4
85,81,83,86,3
85,82,80,86,2
85,81,81,86,3
85,81,83,86,3
85,82,81,86,2
85,81,80,86,3
85,79,79,86,5
85,78,82,86,6
85,80,81,86,4
85,80,82,86,4
85,82,81,86,2
85,81,80,86,3
85,79,80,86,5
85,79,83,86,5
85,82,83,86,2
85,81,78,86,3
85,80,82,86,4
85,80,85,86,4
85,80,84,87,4
85,80,82,87,4
85,84,89,84,0
85,83,83,84,1
85,82,81,84,2
85,83,84,84,1
85,81,80,84,3
85,81,78,84,3
85,82,83,84,2
85,79,85,84,5
85,82,82,84,2
85,81,82,85,3
85,82,84,85,2
85,81,82,85,3
85,84,84,84,0
85,82,82,84,2
85,81,81,84,3
85,83,82,84,1
85,81,86,85,3
85,81,87,85,3
85,84,84,85,0
85,84,85,85,0
85,84,88,85,0
85,86,84,85,-1
85,83,84,85,1
85,83,85,85,1
85,84,82,85,0
85,82,85,85,2
85,83,85,85,1
85,83,82,85,1
85,83,82,85,1
85,80,85,85,4
85,84,87,85,0
85,84,82,85,0
85,82,84,85,2
85,83,88,85,1
85,83,87,85,1
85,85,85,85,0
85,85,89,85,0
85,86,84,85,-1
85,83,84,85,1
85,85,88,85,0
85,84,82,85,0
85,82,82,85,2
85,81,85,85,3
85,84,87,85,0
85,86,84,85,-1
85,83,82,85,1
85,83,85,85,1
