Battery Voltage: 7.51

Target Velocity, Filtered Velocity, Unfiltered Velocity, Motor Power, Error
0,0,0,0,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,3,0,127,0
85,10,0,127,0
85,13,0,127,0
85,16,17,127,0
85,25,24,127,0
85,26,28,127,0
85,32,33,127,0
85,35,28,127,0
85,29,21,127,0
85,16,19,127,0
85,17,16,127,0
85,26,30,127,0
85,30,32,127,0
85,30,25,127,0
85,27,30,127,0
85,27,24,127,0
85,25,23,127,0
85,16,14,127,0
85,10,14,127,0
85,9,14,127,0
85,5,10,127,0
85,4,9,127,0
85,7,9,127,0
85,9,11,127,0
85,9,11,127,0
85,4,11,127,0
85,8,9,127,0
85,13,9,127,0
85,16,17,127,0
85,19,17,127,0
85,20,20,127,0
85,20,21,127,0
85,24,21,127,0
85,22,21,127,0
85,26,23,127,0
85,22,25,127,0
85,27,26,127,0
85,27,28,127,0
85,28,28,127,0
85,29,29,127,0
85,29,29,127,0
85,33,33,127,0
85,34,33,127,0
85,31,34,127,0
85,35,36,127,0
85,37,35,127,0
85,37,39,127,0
85,39,40,127,0
85,40,39,127,0
85,41,42,127,0
85,41,45,127,0
85,44,45,127,0
85,45,46,127,0
85,48,48,127,0
85,48,49,127,0
85,49,49,127,0
85,52,51,127,0
85,51,49,127,0
85,52,53,127,0
85,53,54,127,0
85,53,56,127,0
85,53,58,127,0
85,58,59,127,0
85,58,60,127,0
85,60,56,127,0
85,58,58,127,0
85,62,61,127,0
85,61,61,127,0
85,63,60,127,0
85,62,65,127,0
85,63,66,127,0
85,64,68,127,0
85,66,67,127,0
85,66,68,127,0
85,66,69,127,0
85,68,70,127,0
85,67,65,127,0
85,70,67,127,0
85,67,69,127,0
85,69,71,127,0
85,71,74,127,0
85,74,73,127,0
85,71,76,127,0
85,75,76,127,0
85,77,76,127,0
85,75,78,75,9
85,76,79,127,9
85,76,73,75,8
85,75,67,75,9
85,71,69,127,9
85,68,73,127,9
85,68,71,127,9
85,70,71,127,9
85,69,77,127,9
85,71,84,127,9
85,81,82,127,9
85,83,80,75,1
85,82,87,75,2
85,85,87,75,0
85,85,78,75,0
85,80,84,75,4
85,80,87,75,4
85,82,80,75,2
85,81,83,75,3
85,83,83,75,1
85,81,80,75,3
85,80,84,75,4
85,80,83,75,4
85,82,80,75,2
85,84,83,75,0
85,81,83,75,3
85,79,82,75,5
85,83,82,75,1
85,80,81,75,4
85,80,82,75,4
85,81,84,75,3
85,83,80,75,1
85,80,82,75,4
85,83,86,75,1
85,83,82,75,1
85,84,91,75,0
85,85,91,75,0
85,87,82,75,-2
85,86,87,75,-1
85,84,88,75,0
85,87,86,75,-2
85,88,85,75,-3
85,83,86,75,1
85,89,86,75,-4
85,85,85,75,0
85,82,90,75,2
85,88,88,75,-3
85,86,82,75,-1
85,82,89,75,2
85,85,84,75,0
85,84,82,75,0
85,84,89,75,0
85,83,88,75,1
85,89,91,75,-4
85,86,89,75,-1
85,88,90,75,-3
85,88,85,75,-3
85,88,93,75,-3
85,91,85,75,-6
85,89,85,75,-4
85,85,90,75,0
85,84,88,75,0
85,89,90,75,-4
85,88,86,75,-3
85,85,91,75,0
85,90,90,75,-5
85,86,84,75,-1
85,84,91,75,0
85,89,87,75,-4
85,86,91,75,-1
85,87,91,75,-2
85,90,93,75,-5
85,92,85,74,-7
85,89,82,74,-4
85,85,89,75,0
85,83,82,75,1
85,83,84,75,1
85,79,83,75,5
85,78,80,75,6
85,81,87,75,3
85,80,89,75,4
85,85,82,75,0
85,85,88,75,0
85,84,87,75,0
85,84,87,75,0
85,84,86,75,0
85,87,86,75,-2
85,86,92,75,-1
85,87,88,75,-2
85,91,91,75,-6
85,90,87,74,-5
85,88,91,74,-3
85,88,91,74,-3
85,88,85,74,-3
85,85,88,74,0
85,86,85,74,-1
85,84,92,74,0
85,86,85,74,-1
85,90,90,74,-5
85,86,91,74,-1
85,84,85,74,0
85,89,86,74,-4
85,83,84,74,1
85,82,87,74,2
85,83,89,74,1
85,86,88,74,-1
85,88,89,74,-3
85,88,84,74,-3
85,85,89,74,0
85,84,85,74,0
85,86,82,74,-1
85,85,87,74,0
85,83,83,74,1
85,84,87,74,0
85,83,85,74,1
85,84,85,74,0
85,86,86,74,-1
85,85,84,74,0
85,81,87,74,3
85,83,85,74,1
85,83,82,74,1
85,84,89,74,0
85,87,85,74,-2
85,85,88,74,0
85,84,89,74,0
85,87,83,74,-2
85,85,87,74,0
85,81,84,74,3
85,83,82,74,1
85,83,84,74,1
85,83,83,74,1
85,81,84,74,3
85,85,85,74,0
85,81,82,74,3
85,80,87,75,4
85,85,86,75,0
85,85,80,75,0
85,81,86,75,3
85,80,85,75,4
85,82,82,75,2
85,84,89,75,0
85,87,85,75,-2
85,85,85,75,0
85,85,85,75,0
85,84,85,75,0
85,84,85,75,0
85,81,83,75,3
85,82,82,75,2
85,81,83,75,3
85,79,83,75,5
85,82,82,75,2
85,80,85,75,4
85,83,83,75,1
85,83,81,75,1
85,81,85,75,3
85,83,80,75,1
85,81,81,75,3
85,80,87,75,4
85,83,84,75,1
85,83,83,75,1
85,84,87,75,0
85,85,82,75,0
85,84,85,75,0
85,81,87,75,3
85,83,81,75,1
85,83,83,75,1
85,82,84,75,2
85,83,82,75,1
85,81,84,75,3
85,79,84,75,5
85,80,82,75,4
85,85,84,75,0
85,82,81,75,2
85,78,80,75,6
85,81,84,75,3
85,80,84,75,4
85,80,82,75,4
85,82,88,75,2
85,84,81,75,0
85,87,80,75,-2
85,83,87,75,1
85,80,81,75,4
85,83,79,75,1
85,80,84,75,4
85,79,81,75,5
85,80,79,75,4
85,82,85,75,2
85,81,82,75,3
85,83,82,75,1
85,81,83,75,3
85,80,81,75,4
85,80,80,75,4
85,79,82,75,5
85,79,81,75,5
85,80,82,75,4
85,82,85,76,2
85,84,82,75,0
85,84,85,75,0
85,82,84,75,2
85,83,82,75,1
85,82,84,75,2
85,83,82,75,1
85,77,80,75,7
85,79,81,75,5
85,82,84,75,2
85,80,80,76,4
85,80,81,76,4
85,83,86,76,1
