Battery Voltage: 7.45

Target Velocity, Filtered Velocity, Unfiltered Velocity, Motor Power, Error
0,0,0,0,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,1,0,127,0
85,1,0,127,0
85,3,0,127,0
85,4,0,127,0
85,7,14,127,0
85,9,20,127,0
85,12,20,127,0
85,15,25,127,0
85,18,23,127,0
85,17,18,127,0
85,15,11,127,0
85,17,11,127,0
85,19,27,127,0
85,21,26,127,0
85,22,21,127,0
85,23,29,127,0
85,25,27,127,0
85,26,27,127,0
85,26,16,127,0
85,24,16,127,0
85,22,13,127,0
85,20,10,127,0
85,19,10,127,0
85,17,10,127,0
85,16,9,127,0
85,14,9,127,0
85,13,9,127,0
85,13,12,127,0
85,13,12,127,0
85,13,16,127,0
85,14,16,127,0
85,15,18,127,0
85,16,19,127,0
85,17,19,127,0
85,18,20,127,0
85,18,22,127,0
85,19,23,127,0
85,21,23,127,0
85,22,25,127,0
85,23,26,127,0
85,24,28,127,0
85,26,29,127,0
85,27,31,127,0
85,28,30,127,0
85,29,34,127,0
85,30,32,127,0
85,32,36,127,0
85,34,38,127,0
85,35,39,127,0
85,37,40,127,0
85,38,41,127,0
85,39,41,127,0
85,40,43,127,0
85,42,47,127,0
85,43,44,127,0
85,44,47,127,0
85,46,48,127,0
85,47,50,127,0
85,49,52,127,0
85,50,52,127,0
85,51,50,127,0
85,51,49,127,0
85,52,53,127,0
85,54,57,127,0
85,54,59,127,0
85,56,61,127,0
85,58,60,127,0
85,59,60,127,0
85,60,63,127,0
85,61,65,127,0
85,62,65,127,0
85,63,65,127,0
85,65,66,127,0
85,66,66,127,0
85,67,66,127,0
85,68,64,127,0
85,69,67,127,0
85,69,69,127,0
85,70,71,127,0
85,71,69,127,0
85,71,72,127,0
85,72,72,127,0
85,74,71,127,0
85,74,70,127,0
85,74,75,127,0
85,75,77,127,0
85,75,75,127,0
85,76,73,127,0
85,76,76,75,8
85,77,80,75,7
85,77,80,75,7
85,78,78,75,6
85,79,82,75,5
85,80,81,75,4
85,81,77,75,3
85,81,81,75,3
85,81,82,75,3
85,81,78,75,3
85,82,79,75,2
85,82,84,75,2
85,83,83,75,1
85,83,79,75,1
85,82,84,75,2
85,82,85,75,2
85,83,79,75,1
85,83,85,75,1
85,83,85,75,1
85,84,82,75,0
85,84,87,75,0
85,84,87,75,0
85,86,87,75,-1
85,85,87,75,0
85,86,86,75,-1
85,86,90,75,-1
85,87,83,75,-2
85,87,90,75,-2
85,88,90,75,-3
85,87,83,75,-2
85,87,91,75,-2
85,88,87,75,-3
85,88,87,75,-3
85,88,88,75,-3
85,88,87,75,-3
85,88,87,75,-3
85,88,87,75,-3
85,88,93,74,-3
85,88,84,74,-3
85,88,81,74,-3
85,87,85,74,-2
85,86,82,74,-1
85,86,79,74,-1
85,85,82,75,0
85,84,80,75,0
85,83,80,75,1
85,83,85,75,1
85,83,85,75,1
85,82,87,75,2
85,83,85,75,1
85,83,87,75,1
85,84,91,75,0
85,86,85,75,-1
85,85,91,75,0
85,85,86,75,0
85,87,92,75,-2
85,86,90,75,-1
85,87,93,75,-2
85,87,88,75,-2
85,88,89,74,-3
85,88,92,74,-3
85,89,85,74,-4
85,89,90,74,-4
85,88,86,74,-3
85,88,88,74,-3
85,88,86,74,-3
85,87,87,74,-2
85,87,89,74,-2
85,87,86,74,-2
85,87,88,74,-2
85,86,82,74,-1
85,86,84,74,-1
85,86,90,74,-1
85,86,86,74,-1
85,86,89,74,-1
85,86,87,74,-1
85,87,89,74,-2
85,87,89,74,-2
85,86,85,74,-1
85,86,87,74,-1
85,86,83,74,-1
85,85,89,74,0
85,85,89,74,0
85,85,84,74,0
85,84,89,74,0
85,85,85,74,0
85,85,86,74,0
85,84,85,74,0
85,85,84,74,0
85,84,87,74,0
85,84,85,74,0
85,84,86,74,0
85,85,89,74,0
85,84,85,74,0
85,85,89,74,0
85,85,84,74,0
85,84,82,74,0
85,84,87,74,0
85,84,83,74,0
85,84,85,74,0
85,84,87,74,0
85,84,85,74,0
85,84,86,74,0
85,84,86,74,0
85,83,83,74,1
85,83,85,74,1
85,83,82,74,1
85,83,84,74,1
85,83,89,74,1
85,83,82,74,1
85,84,88,74,0
85,83,87,74,1
85,84,81,74,0
85,83,87,74,1
85,83,82,74,1
85,83,80,74,1
85,83,85,74,1
85,82,82,74,2
85,82,82,74,2
85,82,85,74,2
85,82,84,74,2
85,82,85,74,2
85,82,84,74,2
85,82,82,75,2
85,82,86,75,2
85,82,85,75,2
85,82,84,75,2
85,83,89,75,1
85,83,82,75,1
85,83,83,75,1
85,84,88,74,0
85,84,83,74,0
85,83,83,74,1
85,83,85,75,1
85,83,81,75,1
85,83,82,75,1
85,82,85,75,2
85,82,84,75,2
85,83,85,75,1
85,83,82,75,1
85,82,82,75,2
85,82,84,75,2
85,81,82,75,3
85,82,83,75,2
85,82,87,75,2
85,83,82,75,1
85,82,84,75,2
85,83,87,75,1
85,83,81,75,1
85,83,87,75,1
85,82,87,75,2
85,83,80,75,1
85,83,84,75,1
85,81,81,75,3
85,81,81,75,3
85,82,84,75,2
85,82,82,75,2
85,82,82,75,2
85,82,82,75,2
85,81,83,75,3
85,81,82,75,3
85,81,84,75,3
85,81,84,75,3
85,81,84,75,3
85,82,86,75,2
85,82,81,75,2
85,82,87,75,2
85,83,87,75,1
85,82,81,75,2
85,82,85,75,2
85,82,86,75,2
85,82,80,75,2
85,82,85,75,2
85,82,87,75,2
85,82,82,75,2
85,82,84,75,2
85,82,82,75,2
85,82,80,75,2
85,82,84,75,2
85,81,81,75,3
85,82,82,75,2
85,81,85,75,3
85,82,82,75,2
85,82,87,75,2
85,82,84,76,2
85,83,82,76,1
85,82,86,76,2
85,82,84,76,2
85,83,81,76,1
85,82,86,76,2
85,82,85,76,2
85,82,81,76,2
85,82,86,76,2
85,83,82,76,1
85,82,81,76,2
85,82,84,76,2
85,82,82,76,2
85,82,81,76,2
85,82,85,76,2
85,82,84,76,2
85,82,83,76,2
85,82,84,76,2
85,82,82,76,2
85,82,83,76,2
85,83,84,76,1
85,82,80,76,2
85,82,86,76,2
