  

Battery Voltage: 8.57

Target Velocity, Filtered Velocity, Unfiltered Velocity, Motor Power, Error
0,0,0,0,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,2,0,127,0
85,3,0,127,0
85,5,0,127,0
85,8,18,127,0
85,12,23,127,0
85,15,29,127,0
85,19,27,127,0
85,20,21,127,0
85,18,13,127,0
85,19,29,127,0
85,23,39,127,0
85,27,34,127,0
85,29,27,127,0
85,29,30,127,0
85,30,28,127,0
85,30,26,127,0
85,28,15,127,0
85,26,15,127,0
85,23,14,127,0
85,22,10,127,0
85,19,10,127,0
85,18,10,127,0
85,17,11,127,0
85,16,11,127,0
85,16,13,127,0
85,14,13,127,0
85,14,13,127,0
85,14,13,127,0
85,16,21,127,0
85,16,22,127,0
85,18,22,127,0
85,19,23,127,0
85,20,24,127,0
85,21,24,127,0
85,22,26,127,0
85,23,26,127,0
85,24,27,127,0
85,26,28,127,0
85,26,30,127,0
85,28,31,127,0
85,29,33,127,0
85,30,37,127,0
85,32,37,127,0
85,34,40,127,0
85,36,43,127,0
85,37,42,127,0
85,39,43,127,0
85,41,45,127,0
85,42,49,127,0
85,44,48,127,0
85,46,49,127,0
85,48,53,127,0
85,49,54,127,0
85,51,56,127,0
85,53,58,127,0
85,55,56,127,0
85,56,56,127,0
85,57,56,127,0
85,58,59,127,0
85,60,60,127,0
85,61,60,127,0
85,62,59,127,0
85,62,62,127,0
85,64,64,127,0
85,65,65,127,0
85,66,67,127,0
85,67,69,127,0
85,68,71,127,0
85,69,72,127,0
85,70,69,127,0
85,71,71,127,0
85,73,74,127,0
85,74,78,127,0
85,76,78,127,0
85,77,78,75,7
85,78,82,75,6
85,79,81,75,5
85,81,77,75,3
85,81,81,75,3
85,83,84,75,1
85,82,79,75,2
85,83,80,75,1
85,84,86,75,0
85,85,81,75,0
85,85,81,75,0
85,86,87,75,-1
85,86,82,75,-1
85,87,85,75,-2
85,87,88,75,-2
85,87,87,75,-2
85,87,87,75,-2
85,88,89,74,-3
85,89,87,74,-4
85,90,81,74,-5
85,88,80,74,-3
85,87,87,74,-2
85,87,84,74,-2
85,86,78,74,-1
85,86,90,74,-1
85,86,87,74,-1
85,87,85,74,-2
85,86,92,74,-1
85,87,91,74,-2
85,89,92,74,-4
85,89,89,74,-4
85,90,94,74,-5
85,91,87,74,-6
85,90,92,74,-5
85,90,91,73,-5
85,92,94,73,-7
85,92,91,73,-7
85,92,95,73,-7
85,93,89,73,-8
85,92,95,73,-7
85,93,89,73,-8
85,94,91,72,-9
85,92,87,72,-7
85,92,94,72,-7
85,92,88,72,-7
85,92,87,72,-7
85,91,89,72,-6
85,90,88,72,-5
85,91,91,71,-6
85,90,89,71,-5
85,91,91,71,-6
85,90,91,71,-5
85,91,96,71,-6
85,91,90,71,-6
85,91,93,71,-6
85,91,91,71,-6
85,91,93,71,-6
85,92,89,70,-7
85,91,93,70,-6
85,91,87,70,-6
85,91,93,70,-6
85,90,91,70,-5
85,91,91,70,-6
85,91,90,70,-6
85,90,93,70,-5
85,90,91,70,-5
85,89,87,69,-4
85,89,94,69,-4
85,90,91,69,-5
85,90,94,69,-5
85,90,90,69,-5
85,90,92,69,-5
85,90,90,69,-5
85,90,95,69,-5
85,91,86,69,-6
85,90,91,69,-5
85,89,90,68,-4
85,89,93,68,-4
85,90,87,68,-5
85,89,93,68,-4
85,89,88,68,-4
85,89,86,68,-4
85,89,92,68,-4
85,89,87,68,-4
85,89,93,68,-4
85,88,92,68,-3
85,90,95,68,-5
85,90,89,68,-5
85,90,93,67,-5
85,90,91,67,-5
85,90,91,67,-5
85,89,88,67,-4
85,89,89,67,-4
85,89,90,67,-4
85,88,94,67,-3
85,89,93,67,-4
85,89,87,67,-4
85,88,92,67,-3
85,89,87,67,-4
85,88,89,67,-3
85,88,88,67,-3
85,88,94,66,-3
85,89,91,66,-4
85,89,94,66,-4
85,89,89,66,-4
85,90,92,66,-5
85,89,91,66,-4
85,90,89,66,-5
85,90,88,66,-5
85,89,87,66,-4
85,88,92,66,-3
85,88,87,66,-3
85,88,91,66,-3
85,89,87,65,-4
85,88,89,65,-3
85,88,89,65,-3
85,87,87,65,-2
85,87,89,65,-2
85,87,89,65,-2
85,87,93,65,-2
85,88,88,65,-3
85,88,91,65,-3
85,88,89,65,-3
85,88,91,65,-3
85,88,90,65,-3
85,88,87,65,-3
85,88,89,65,-3
85,87,87,65,-2
85,88,93,65,-3
85,88,87,65,-3
85,88,89,65,-3
85,88,87,65,-3
85,87,86,64,-2
85,87,87,64,-2
85,87,86,64,-2
85,86,92,64,-1
85,86,87,64,-1
85,87,91,64,-2
85,87,87,64,-2
85,87,90,64,-2
85,87,92,64,-2
85,87,87,64,-2
85,88,87,64,-3
85,87,86,64,-2
85,87,91,64,-2
85,87,86,64,-2
85,86,90,64,-1
85,87,87,64,-2
85,87,85,64,-2
85,87,89,64,-2
85,86,87,64,-1
85,87,88,64,-2
85,87,87,64,-2
85,86,94,64,-1
85,86,92,64,-1
85,87,85,64,-2
85,87,91,64,-2
85,87,88,64,-2
85,88,88,64,-3
85,87,86,63,-2
85,87,87,63,-2
85,87,87,63,-2
85,86,87,63,-1
85,86,89,63,-1
85,86,84,63,-1
85,86,89,63,-1
85,85,86,68,0
85,85,83,68,0
85,85,89,68,0
85,85,89,68,0
85,85,92,68,0
85,86,89,68,-1
85,87,93,68,-2
85,88,92,68,-3
85,88,94,68,-3
85,88,93,68,-3
85,88,85,68,-3
85,88,88,68,-3
85,87,87,67,-2
85,87,89,67,-2
85,88,86,67,-3
85,86,84,67,-1
85,86,87,67,-1
85,86,81,67,-1
85,85,84,68,0
85,85,89,68,0
85,85,84,68,0
85,85,93,68,0
85,85,90,68,0
85,86,90,68,-1
85,87,88,68,-2
85,86,94,67,-1
85,88,86,67,-3
85,88,85,67,-3
85,87,91,67,-2
85,87,84,67,-2
85,87,89,67,-2
85,86,87,67,-1
85,87,86,67,-2
85,86,87,67,-1
85,86,86,67,-1
85,86,87,67,-1
85,85,84,67,0
85,85,91,67,0
85,86,89,67,-1
85,86,91,67,-1
