  

Battery Voltage: 8.21

Target Velocity, Filtered Velocity, Unfiltered Velocity, Motor Power, Error
0,0,0,0,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,1,0,127,0
85,2,0,127,0
85,3,0,127,0
85,6,0,127,0
85,8,16,127,0
85,11,23,127,0
85,14,26,127,0
85,18,28,127,0
85,20,26,127,0
85,19,14,127,0
85,18,13,127,0
85,20,27,127,0
85,22,28,127,0
85,24,26,127,0
85,25,31,127,0
85,28,34,127,0
85,30,31,127,0
85,31,21,127,0
85,29,21,127,0
85,26,14,127,0
85,24,11,127,0
85,22,11,127,0
85,19,11,127,0
85,18,10,127,0
85,17,10,127,0
85,16,13,127,0
85,16,13,127,0
85,15,13,127,0
85,15,12,127,0
85,13,12,127,0
85,13,14,127,0
85,15,21,127,0
85,16,21,127,0
85,17,21,127,0
85,18,24,127,0
85,20,24,127,0
85,21,24,127,0
85,21,25,127,0
85,23,28,127,0
85,24,28,127,0
85,26,31,127,0
85,27,32,127,0
85,28,32,127,0
85,30,34,127,0
85,31,37,127,0
85,33,36,127,0
85,35,41,127,0
85,36,39,127,0
85,38,40,127,0
85,39,42,127,0
85,41,45,127,0
85,42,43,127,0
85,43,45,127,0
85,44,49,127,0
85,46,51,127,0
85,48,54,127,0
85,50,51,127,0
85,51,50,127,0
85,52,53,127,0
85,53,56,127,0
85,54,58,127,0
85,56,57,127,0
85,57,57,127,0
85,58,58,127,0
85,58,61,127,0
85,59,63,127,0
85,60,63,127,0
85,61,64,127,0
85,63,68,127,0
85,65,69,127,0
85,65,70,127,0
85,67,70,127,0
85,68,69,127,0
85,70,70,127,0
85,71,70,127,0
85,73,72,127,0
85,72,76,127,0
85,74,76,127,0
85,74,72,127,0
85,76,73,127,0
85,77,77,75,7
85,77,80,76,7
85,78,68,78,6
85,77,67,80,7
85,77,69,81,7
85,76,80,83,8
85,76,74,85,8
85,77,76,87,7
85,77,82,89,7
85,79,85,90,5
85,81,84,91,3
85,81,87,92,3
85,83,91,92,1
85,85,82,85,0
85,86,87,85,-1
85,86,88,84,-1
85,87,82,84,-2
85,87,82,83,-2
85,86,85,83,-1
85,86,79,83,-1
85,86,83,83,-1
85,85,86,84,0
85,86,84,83,-1
85,86,84,83,-1
85,85,85,83,0
85,86,89,83,-1
85,86,87,83,-1
85,86,84,83,-1
85,87,92,82,-2
85,87,87,82,-2
85,88,91,81,-3
85,89,88,80,-4
85,89,86,79,-4
85,89,89,78,-4
85,89,85,77,-4
85,89,85,76,-4
85,88,81,75,-3
85,87,82,75,-2
85,87,89,74,-2
85,86,82,74,-1
85,86,87,74,-1
85,86,89,73,-1
85,86,84,73,-1
85,85,87,77,0
85,86,86,77,-1
85,86,89,77,-1
85,87,91,76,-2
85,87,92,76,-2
85,88,95,75,-3
85,89,88,74,-4
85,89,93,73,-4
85,89,91,72,-4
85,90,90,71,-5
85,90,87,69,-5
85,90,88,68,-5
85,89,85,67,-4
85,88,87,66,-3
85,88,89,66,-3
85,88,82,65,-3
85,87,87,64,-2
85,86,86,64,-1
85,86,80,64,-1
85,85,85,69,0
85,84,85,69,0
85,85,90,69,0
85,85,87,69,0
85,85,90,69,0
85,85,89,69,0
85,86,88,69,-1
85,86,93,69,-1
85,87,85,68,-2
85,87,89,68,-2
85,87,87,67,-2
85,88,90,66,-3
85,87,89,66,-2
85,87,85,65,-2
85,87,87,65,-2
85,87,82,64,-2
85,86,82,64,-1
85,85,86,66,0
85,85,82,66,0
85,84,91,66,0
85,84,87,66,0
85,85,84,66,0
85,85,87,66,0
85,85,86,66,0
85,85,88,66,0
85,85,82,66,0
85,85,83,66,0
85,85,87,66,0
85,84,84,66,0
85,84,89,66,0
85,84,88,66,0
85,84,82,66,0
85,84,88,66,0
85,84,83,66,0
85,84,81,66,0
85,84,87,66,0
85,84,85,66,0
85,84,89,66,0
85,84,85,66,0
85,84,85,66,0
85,84,86,66,0
85,85,84,66,0
85,84,88,66,0
85,84,84,66,0
85,84,80,66,0
85,83,87,66,1
85,82,85,67,2
85,82,81,67,2
85,82,85,68,2
85,83,82,68,1
85,83,81,68,1
85,83,84,69,1
85,82,82,69,2
85,83,81,69,1
85,82,87,70,2
85,82,87,70,2
85,83,89,71,1
85,84,86,69,0
85,83,84,69,1
85,83,89,69,1
85,84,82,69,0
85,84,86,69,0
85,84,86,69,0
85,83,80,69,1
85,83,85,70,1
85,83,87,70,1
85,83,80,70,1
85,82,83,71,2
85,82,85,71,2
85,82,81,72,2
85,82,83,72,2
85,81,85,73,3
85,81,84,74,3
85,82,88,74,2
85,82,85,75,2
85,83,89,75,1
85,83,87,75,1
85,84,85,73,0
85,85,89,73,0
85,85,81,73,0
85,84,81,73,0
85,84,87,73,0
85,84,81,73,0
85,84,80,73,0
85,83,85,73,1
85,83,82,73,1
85,83,83,73,1
85,82,85,74,2
85,82,83,74,2
85,82,85,75,2
85,82,87,75,2
85,82,87,76,2
85,83,90,76,1
85,84,85,75,0
85,84,90,75,0
85,84,86,75,0
85,86,82,75,-1
85,85,87,75,0
85,85,82,75,0
85,84,80,75,0
85,84,87,75,0
85,84,85,75,0
85,84,83,75,0
85,84,84,75,0
85,84,83,75,0
85,84,84,75,0
85,83,82,75,1
85,82,84,75,2
85,83,89,76,1
85,83,85,76,1
85,84,90,75,0
85,85,84,75,0
85,85,84,75,0
85,85,90,75,0
85,85,84,75,0
85,85,85,75,0
85,84,82,75,0
85,85,85,75,0
85,85,86,75,0
85,84,82,75,0
85,84,88,75,0
85,84,85,75,0
85,84,82,75,0
85,84,89,75,0
85,83,85,76,1
85,83,84,76,1
85,84,92,76,0
85,85,89,76,0
85,85,89,76,0
85,86,86,76,-1
85,85,92,76,0
85,86,84,75,-1
85,86,84,75,-1
85,86,89,75,-1
85,86,82,75,-1
85,85,88,75,0
85,86,90,75,-1
85,85,81,75,0
85,85,85,75,0
85,85,84,75,0
85,84,82,75,0
85,85,86,75,0
85,84,85,75,0
85,84,91,75,0
85,85,89,75,0
85,85,87,75,0
85,85,91,75,0
85,86,85,75,-1
85,86,91,74,-1
85,87,85,74,-2
85,87,85,73,-2
