Battery Voltage: 8.04

Target Velocity, Filtered Velocity, Unfiltered Velocity, Motor Power, Error
0,0,0,0,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,1,0,127,0
85,2,0,127,0
85,4,8,127,0
85,7,19,127,0
85,10,19,127,0
85,13,24,127,0
85,17,30,127,0
85,21,31,127,0
85,22,17,127,0
85,21,17,127,0
85,22,21,127,0
85,24,32,127,0
85,26,30,127,0
85,28,30,127,0
85,29,32,127,0
85,32,35,127,0
85,31,19,127,0
85,29,19,127,0
85,27,14,127,0
85,23,11,127,0
85,21,11,127,0
85,20,11,127,0
85,18,10,127,0
85,16,10,127,0
85,16,13,127,0
85,16,13,127,0
85,14,13,127,0
85,12,9,127,0
85,12,9,127,0
85,14,20,127,0
85,15,21,127,0
85,16,21,127,0
85,18,24,127,0
85,19,22,127,0
85,20,25,127,0
85,21,24,127,0
85,22,24,127,0
85,23,27,127,0
85,24,27,127,0
85,25,28,127,0
85,26,30,127,0
85,28,31,127,0
85,29,34,127,0
85,30,34,127,0
85,32,38,127,0
85,33,37,127,0
85,35,40,127,0
85,36,38,127,0
85,38,40,127,0
85,40,42,127,0
85,40,45,127,0
85,42,45,127,0
85,44,46,127,0
85,44,47,127,0
85,46,51,127,0
85,48,53,127,0
85,50,52,127,0
85,51,51,127,0
85,52,52,127,0
85,53,54,127,0
85,54,57,127,0
85,56,58,127,0
85,57,61,127,0
85,58,61,127,0
85,60,61,127,0
85,61,64,127,0
85,62,65,127,0
85,63,65,127,0
85,64,65,127,0
85,65,67,127,0
85,66,67,127,0
85,67,67,127,0
85,68,66,127,0
85,69,67,127,0
85,69,69,127,0
85,70,71,127,0
85,71,70,127,0
85,72,73,127,0
85,72,72,127,0
85,74,73,127,0
85,74,72,127,0
85,74,80,127,0
85,76,82,127,0
85,78,75,75,6
85,79,75,76,5
85,79,74,77,5
85,78,75,79,6
85,78,74,80,6
85,78,71,82,6
85,78,74,83,6
85,77,80,85,7
85,78,80,86,6
85,78,82,88,6
85,80,89,89,4
85,82,83,89,2
85,83,81,90,1
85,84,90,84,0
85,85,82,84,0
85,85,85,84,0
85,85,87,84,0
85,86,84,83,-1
85,86,84,83,-1
85,86,85,83,-1
85,86,84,83,-1
85,86,84,82,-1
85,86,84,82,-1
85,86,89,82,-1
85,86,85,82,-1
85,86,81,81,-1
85,86,88,81,-1
85,86,85,81,-1
85,87,82,80,-2
85,86,87,80,-1
85,86,84,80,-1
85,87,82,79,-2
85,85,88,81,0
85,86,85,81,-1
85,86,89,81,-1
85,87,88,80,-2
85,87,92,80,-2
85,88,86,79,-3
85,88,85,78,-3
85,88,91,77,-3
85,88,85,77,-3
85,88,86,76,-3
85,87,85,75,-2
85,88,83,75,-3
85,87,85,74,-2
85,86,86,74,-1
85,86,89,74,-1
85,86,87,73,-1
85,86,84,73,-1
85,86,90,73,-1
85,86,82,73,-1
85,86,89,72,-1
85,86,87,72,-1
85,86,91,72,-1
85,86,91,72,-1
85,86,88,71,-1
85,88,89,71,-3
85,87,87,70,-2
85,87,91,70,-2
85,88,83,69,-3
85,87,82,68,-2
85,87,88,68,-2
85,86,84,68,-1
85,86,87,67,-1
85,85,87,73,0
85,85,84,73,0
85,85,86,73,0
85,86,84,73,-1
85,85,88,73,0
85,85,88,73,0
85,84,88,73,0
85,86,94,72,-1
85,87,89,72,-2
85,87,91,71,-2
85,88,88,71,-3
85,87,90,70,-2
85,87,83,70,-2
85,87,84,69,-2
85,87,85,69,-2
85,86,82,68,-1
85,86,89,68,-1
85,85,87,70,0
85,84,81,70,0
85,85,87,70,0
85,84,82,70,0
85,84,81,70,0
85,84,87,70,0
85,83,86,70,1
85,83,90,70,1
85,84,87,70,0
85,84,87,70,0
85,86,87,70,-1
85,85,85,70,0
85,85,89,70,0
85,85,85,70,0
85,85,82,70,0
85,84,87,70,0
85,83,84,70,1
85,84,82,70,0
85,84,86,70,0
85,83,83,70,1
85,84,84,70,0
85,83,85,70,1
85,82,83,71,2
85,83,85,71,1
85,83,85,71,1
85,82,87,72,2
85,84,89,71,0
85,84,82,71,0
85,84,88,71,0
85,84,88,71,0
85,84,82,71,0
85,84,87,71,0
85,84,82,71,0
85,84,81,71,0
85,83,87,72,1
85,84,85,72,0
85,84,84,72,0
85,83,85,72,1
85,83,83,72,1
85,84,84,72,0
85,83,81,72,1
85,82,82,72,2
85,82,88,73,2
85,83,84,73,1
85,83,88,73,1
85,83,87,74,1
85,83,82,74,1
85,84,89,73,0
85,84,82,73,0
85,84,80,73,0
85,84,85,73,0
85,83,84,73,1
85,84,85,73,0
85,83,85,73,1
85,83,82,74,1
85,83,81,127,1
85,83,75,127,1
85,82,74,127,2
85,80,74,127,4
85,77,74,127,7
85,76,67,127,8
85,74,70,127,10
85,73,73,127,10
85,73,73,127,10
85,72,73,127,10
85,71,78,127,10
85,72,76,127,10
85,72,77,127,10
85,72,75,127,10
85,72,76,127,10
85,72,75,127,10
85,72,72,127,10
85,72,79,127,10
85,73,80,127,10
85,73,78,127,10
85,74,78,127,10
85,74,83,127,10
85,76,81,127,10
85,76,81,84,8
85,78,84,85,6
85,78,80,87,6
85,79,79,88,5
85,79,83,89,5
85,79,81,91,5
85,79,84,92,5
85,80,85,93,4
85,80,83,94,4
85,81,86,95,3
85,82,83,95,2
85,82,82,96,2
85,81,89,96,3
85,83,87,97,1
85,83,84,97,1
85,84,93,88,0
85,85,88,88,0
85,86,89,87,-1
85,87,88,87,-2
85,87,93,86,-2
85,88,85,86,-3
85,89,87,85,-4
85,88,86,84,-3
85,88,86,83,-3
85,88,93,82,-3
85,89,87,81,-4
85,89,86,80,-4
85,88,84,80,-3
85,88,85,79,-3
85,87,85,78,-2
85,86,82,78,-1
85,86,91,78,-1
85,86,88,78,-1
85,87,91,77,-2
85,87,89,77,-2
85,88,87,76,-3
85,87,91,75,-2
85,88,89,75,-3
85,88,89,74,-3
85,88,85,73,-3
85,88,92,72,-3
85,88,89,72,-3
85,88,91,71,-3
85,89,87,70,-4
85,88,87,69,-3
85,88,89,68,-3
85,87,85,68,-2
85,87,89,67,-2
