Battery Voltage: 8.27

Target Velocity, Filtered Velocity, Unfiltered Velocity, Motor Power, Error
0,0,0,0,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,0,0,127,0
85,1,0,127,0
85,3,0,127,0
85,5,12,127,0
85,8,20,127,0
85,11,26,127,0
85,14,30,127,0
85,18,32,127,0
85,21,24,127,0
85,20,14,127,0
85,20,14,127,0
85,22,32,127,0
85,25,32,127,0
85,27,29,127,0
85,27,26,127,0
85,28,29,127,0
85,28,18,127,0
85,27,18,127,0
85,25,15,127,0
85,23,12,127,0
85,21,12,127,0
85,19,11,127,0
85,18,10,127,0
85,17,10,127,0
85,15,10,127,0
85,14,10,127,0
85,14,10,127,0
85,15,16,127,0
85,15,19,127,0
85,16,19,127,0
85,18,21,127,0
85,18,21,127,0
85,19,22,127,0
85,20,22,127,0
85,21,25,127,0
85,22,25,127,0
85,23,29,127,0
85,25,28,127,0
85,26,31,127,0
85,28,31,127,0
85,30,35,127,0
85,31,33,127,0
85,32,36,127,0
85,33,37,127,0
85,35,38,127,0
85,36,40,127,0
85,37,43,127,0
85,39,42,127,0
85,41,44,127,0
85,42,47,127,0
85,44,24,127,0
85,45,48,127,0
85,47,50,127,0
85,49,52,127,0
85,49,53,127,0
85,52,54,127,0
85,53,56,127,0
85,54,54,127,0
85,55,56,127,0
85,56,56,127,0
85,58,57,127,0
85,58,61,127,0
85,60,60,127,0
85,61,59,127,0
85,62,62,127,0
85,63,64,127,0
85,64,64,127,0
85,66,64,127,0
85,67,68,127,0
85,67,73,127,0
85,69,75,127,0
85,71,70,127,0
85,72,71,127,0
85,73,77,127,0
85,74,77,127,0
85,76,76,127,0
85,76,73,75,8
85,77,76,76,7
85,78,74,78,6
85,78,67,79,6
85,77,74,81,7
85,77,77,83,7
85,78,74,84,6
85,79,73,86,5
85,78,82,87,6
85,78,85,89,6
85,80,85,90,4
85,83,87,90,1
85,83,86,90,1
85,86,89,84,-1
85,86,84,83,-1
85,87,85,83,-2
85,87,87,82,-2
85,88,81,82,-3
85,87,89,81,-2
85,87,84,81,-2
85,87,78,80,-2
85,86,84,80,-1
85,85,84,81,0
85,86,82,81,-1
85,86,85,81,-1
85,85,86,81,0
85,86,89,81,-1
85,87,87,80,-2
85,86,85,80,-1
85,88,89,79,-3
85,87,85,79,-2
85,87,93,78,-2
85,88,89,78,-3
85,89,90,77,-4
85,89,91,76,-4
85,90,89,74,-5
85,90,89,73,-5
85,89,84,72,-4
85,89,89,71,-4
85,89,87,70,-4
85,87,84,70,-2
85,88,90,69,-3
85,88,84,68,-3
85,87,87,68,-2
85,87,89,67,-2
85,86,83,67,-1
85,86,86,67,-1
85,86,86,66,-1
85,86,92,66,-1
85,87,89,66,-2
85,88,92,65,-3
85,88,92,64,-3
85,88,87,63,-3
85,88,92,63,-3
85,88,86,62,-3
85,88,87,61,-3
85,88,85,60,-3
85,87,90,60,-2
85,87,88,59,-2
85,87,84,59,-2
85,86,89,59,-1
85,86,82,58,-1
85,86,82,58,-1
85,85,86,67,0
85,85,83,67,0
85,85,89,67,0
85,85,89,67,0
85,85,87,67,0
85,86,89,67,-1
85,86,88,67,-1
85,86,94,67,-1
85,87,86,66,-2
85,87,91,66,-2
85,87,88,65,-2
85,88,87,64,-3
85,88,90,64,-3
85,88,88,63,-3
85,88,89,62,-3
85,88,85,61,-3
85,88,87,61,-3
85,87,84,60,-2
85,86,81,60,-1
85,85,88,63,0
85,84,84,63,0
85,84,83,63,0
85,84,88,63,0
85,84,84,63,0
85,84,87,63,0
85,83,89,63,1
85,85,84,63,0
85,85,86,63,0
85,84,83,63,0
85,84,87,63,0
85,84,86,63,0
85,84,82,63,0
85,83,88,63,1
85,84,87,63,0
85,84,81,63,0
85,83,86,63,1
85,83,89,64,1
85,83,77,127,1
85,82,72,127,2
85,81,75,127,3
85,79,68,127,5
85,76,64,127,8
85,73,69,127,11
85,71,72,127,11
85,70,69,127,11
85,70,69,127,11
85,69,73,127,11
85,69,76,127,11
85,69,76,127,11
85,69,74,127,11
85,70,75,127,11
85,70,80,127,11
85,71,80,127,11
85,73,77,127,11
85,73,78,127,11
85,74,81,127,11
85,74,79,127,11
85,75,79,127,11
85,76,78,127,11
85,75,77,73,9
85,76,78,127,9
85,75,71,76,9
85,75,71,127,9
85,75,71,127,9
85,74,78,127,9
85,74,75,127,9
85,74,76,127,9
85,74,85,127,9
85,75,86,127,9
85,78,88,127,9
85,80,89,77,4
85,82,84,77,2
85,83,83,77,1
85,83,87,78,1
85,84,76,127,0
85,83,66,127,1
85,80,65,127,4
85,77,74,127,7
85,76,73,127,8
85,75,68,127,9
85,74,72,127,9
85,72,79,127,9
85,73,84,127,9
85,75,82,127,9
85,76,81,127,9
85,76,81,127,8
85,78,80,127,6
85,78,81,127,6
85,78,80,127,6
85,78,81,127,6
85,79,79,88,5
85,78,82,90,6
85,79,87,91,5
85,81,81,92,3
85,81,83,92,3
85,81,88,93,3
85,83,81,93,1
85,83,87,94,1
85,82,89,94,2
85,83,82,94,1
85,84,89,85,0
85,84,90,85,0
85,86,89,85,-1
85,86,89,85,-1
85,86,89,85,-1
85,87,93,84,-2
85,88,85,84,-3
85,88,93,83,-3
85,89,87,82,-4
85,89,93,81,-4
85,90,91,80,-5
85,90,93,78,-5
85,90,87,77,-5
85,90,95,76,-5
85,91,90,74,-6
85,91,91,73,-6
85,91,91,71,-6
85,92,96,70,-7
85,92,92,68,-7
85,92,96,66,-7
85,93,91,64,-8
85,93,95,62,-8
85,93,93,60,-8
85,94,93,58,-9
85,93,89,56,-8
85,93,94,54,-8
85,93,91,52,-8
