Error, Output
900, 450
900, 450
900, 450
900, 450
900, 450
900, 450
900, 450
898, 441
897, 444
895, 439
892, 434
888, 428
883, 421
878, 419
871, 407
864, 404
857, 400
850, 397
841, 384
831, 375
820, 366
809, 360
797, 350
784, 340
771, 333
757, 322
744, 320
729, 304
715, 301
700, 290
685, 282
671, 279
656, 268
641, 260
626, 253
610, 241
595, 237
579, 225
564, 222
548, 210
533, 206
516, 190
500, 186
483, 173
466, 165
448, 152
431, 147
414, 139
397, 130
379, 117
362, 113
344, 100
327, 95
309, 82
292, 78
274, 65
256, 56
238, 47
221, 42
203, 29
185, 20
167, 11
150, 7
133, -1
117, -5
101, -13
85, -21
71, -20
57, -27
45, -25
33, -31
22, -33
12, -34
2, -39
-7, -39
-15, -39
-21, -34
-27, -37
-31, -31
-33, -24
-35, -25
-34, -13
-33, -12
-30, -3
-26, 3
-23, 0
-20, 2
-17, 3
-15, 0
-13, 1
-13, -6
-12, -2
-12, -6
-12, -6
-13, -10
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
-13, -6
