Battery Voltage: 7.86

Target Velocity, Filtered Velocity, Unfiltered Velocity, Motor Power, Error
0,0,0,0,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,1,0,127,0
88,2,0,127,0
88,4,0,127,0
88,6,17,127,0
88,9,17,127,0
88,12,23,127,0
88,16,28,127,0
88,19,28,127,0
88,20,19,127,0
88,18,12,127,0
88,19,26,127,0
88,21,26,127,0
88,23,27,127,0
88,24,24,127,0
88,25,22,127,0
88,25,22,127,0
88,24,17,127,0
88,22,17,127,0
88,20,12,127,0
88,19,9,127,0
88,17,9,127,0
88,16,9,127,0
88,15,10,127,0
88,14,10,127,0
88,12,10,127,0
88,13,11,127,0
88,13,11,127,0
88,14,17,127,0
88,15,18,127,0
88,16,18,127,0
88,16,18,127,0
88,17,20,127,0
88,18,20,127,0
88,19,21,127,0
88,19,23,127,0
88,20,25,127,0
88,22,25,127,0
88,23,27,127,0
88,24,28,127,0
88,26,29,127,0
88,27,31,127,0
88,29,31,127,0
88,30,35,127,0
88,32,36,127,0
88,33,37,127,0
88,34,39,127,0
88,36,39,127,0
88,37,40,127,0
88,38,40,127,0
88,40,42,127,0
88,41,45,127,0
88,43,46,127,0
88,44,48,127,0
88,46,51,127,0
88,47,49,127,0
88,48,51,127,0
88,51,52,127,0
88,52,53,127,0
88,52,54,127,0
88,54,53,127,0
88,55,55,127,0
88,56,58,127,0
88,57,58,127,0
88,58,59,127,0
88,60,61,127,0
88,61,63,127,0
88,62,66,127,0
88,64,66,127,0
88,65,66,127,0
88,66,66,127,0
88,67,70,127,0
88,68,69,127,0
88,69,67,127,0
88,69,69,127,0
88,70,70,127,0
88,71,71,127,0
88,72,72,127,0
88,73,72,127,0
88,74,75,127,0
88,75,75,127,0
88,76,73,127,0
88,76,77,127,0
88,77,78,127,0
88,78,77,127,0
88,78,76,127,0
88,79,82,127,0
88,80,84,75,7
88,81,79,75,6
88,82,80,76,5
88,82,75,77,5
88,81,76,78,6
88,81,77,79,6
88,80,77,80,7
88,80,79,81,7
88,80,80,82,7
88,81,81,83,6
88,81,87,84,6
88,83,89,84,4
88,84,87,85,3
88,85,88,85,2
88,85,89,85,2
88,87,86,81,0
88,87,85,81,0
88,87,87,81,0
88,87,85,81,0
88,87,84,81,0
88,87,87,81,0
88,88,82,81,0
88,87,86,81,0
88,87,89,81,0
88,87,87,81,0
88,87,87,81,0
88,88,87,81,0
88,87,91,81,0
88,88,87,81,0
88,88,88,81,0
88,88,90,81,0
88,89,86,81,-1
88,89,89,81,-1
88,88,89,81,0
88,88,87,81,0
88,88,90,81,0
88,89,92,81,-1
88,89,91,81,-1
88,90,88,80,-2
88,89,91,80,-1
88,89,89,80,-1
88,89,88,80,-1
88,89,88,80,-1
88,88,88,80,0
88,88,89,80,0
88,89,89,80,-1
88,88,91,80,0
88,89,87,80,-1
88,89,91,80,-1
88,89,88,80,-1
88,89,89,79,-1
88,89,89,79,-1
88,88,92,80,0
88,89,92,79,-1
88,89,91,79,-1
88,90,88,79,-2
88,90,89,79,-2
88,89,92,79,-1
88,89,89,78,-1
88,90,88,78,-2
88,89,87,78,-1
88,88,91,79,0
88,88,89,79,0
88,89,91,78,-1
88,89,89,78,-1
88,89,90,78,-1
88,89,91,78,-1
88,89,89,78,-1
88,89,92,78,-1
88,89,81,127,-1
88,88,81,127,0
88,86,76,127,0
88,84,74,127,0
88,82,76,127,0
88,79,77,127,0
88,78,77,79,9
88,78,76,127,9
88,76,78,127,9
88,76,78,127,9
88,76,78,127,9
88,76,79,127,9
88,76,83,127,9
88,76,82,127,9
88,77,81,127,9
88,76,81,127,9
88,77,81,127,9
88,78,80,127,9
88,77,83,127,9
88,78,82,127,9
88,78,81,127,9
88,79,82,127,9
88,79,87,80,8
88,80,84,81,7
88,80,80,82,7
88,81,82,83,6
88,80,83,84,7
88,81,82,85,6
88,81,84,86,6
88,81,86,87,6
88,81,87,88,6
88,82,93,88,5
88,84,95,89,3
88,87,89,85,0
88,87,89,85,0
88,87,90,85,0
88,88,87,85,0
88,89,87,85,-1
88,87,87,85,0
88,88,85,85,0
88,87,88,85,0
88,87,92,85,0
88,88,91,85,0
88,88,88,85,0
88,88,93,85,0
88,89,89,85,-1
88,89,90,84,-1
88,89,92,84,-1
88,89,94,84,-1
88,91,93,84,-3
88,91,93,83,-3
88,91,89,83,-3
88,91,91,82,-3
88,91,92,82,-3
88,91,89,81,-3
