Battery Voltage: 7.86

Target Velocity, Filtered Velocity, Unfiltered Velocity, Motor Power, Error
0,0,0,0,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,0,0,127,0
88,1,0,127,0
88,3,0,127,0
88,6,16,127,0
88,8,16,127,0
88,11,22,127,0
88,15,27,127,0
88,18,30,127,0
88,21,18,127,0
88,20,16,127,0
88,20,20,127,0
88,22,29,127,0
88,24,28,127,0
88,25,29,127,0
88,28,29,127,0
88,28,27,127,0
88,28,21,127,0
88,26,18,127,0
88,24,12,127,0
88,22,12,127,0
88,20,12,127,0
88,18,10,127,0
88,17,10,127,0
88,16,10,127,0
88,14,10,127,0
88,13,8,127,0
88,12,8,127,0
88,12,13,127,0
88,13,13,127,0
88,13,17,127,0
88,14,21,127,0
88,16,21,127,0
88,17,21,127,0
88,18,24,127,0
88,20,24,127,0
88,21,24,127,0
88,21,25,127,0
88,23,26,127,0
88,25,28,127,0
88,25,28,127,0
88,27,31,127,0
88,28,31,127,0
88,29,33,127,0
88,31,36,127,0
88,33,36,127,0
88,34,37,127,0
88,35,39,127,0
88,36,38,127,0
88,38,42,127,0
88,40,44,127,0
88,41,46,127,0
88,42,47,127,0
88,45,49,127,0
88,46,48,127,0
88,48,49,127,0
88,48,52,127,0
88,50,52,127,0
88,51,53,127,0
88,53,53,127,0
88,54,55,127,0
88,55,55,127,0
88,56,57,127,0
88,57,58,127,0
88,59,60,127,0
88,59,62,127,0
88,62,63,127,0
88,63,65,127,0
88,64,64,127,0
88,65,65,127,0
88,66,69,127,0
88,67,69,127,0
88,68,67,127,0
88,69,67,127,0
88,69,70,127,0
88,71,71,127,0
88,71,71,127,0
88,73,72,127,0
88,73,75,127,0
88,74,74,127,0
88,75,72,127,0
88,76,74,127,0
88,76,78,127,0
88,77,78,127,0
88,78,76,127,0
88,79,79,127,0
88,79,84,75,8
88,80,79,76,7
88,82,78,78,5
88,81,73,79,6
88,80,77,81,7
88,81,79,82,6
88,81,74,84,6
88,80,76,86,7
88,80,83,87,7
88,80,84,89,7
88,82,89,90,5
88,83,88,91,4
88,85,86,92,2
88,86,88,92,1
88,87,89,85,0
88,88,84,85,0
88,88,85,85,0
88,87,86,85,0
88,87,87,85,0
88,88,87,85,0
88,88,88,85,0
88,88,85,85,0
88,89,85,85,-1
88,88,89,85,0
88,88,85,85,0
88,88,87,85,0
88,88,87,85,0
88,88,90,85,0
88,88,89,85,0
88,89,89,85,-1
88,89,91,84,-1
88,90,87,84,-2
88,89,89,84,-1
88,89,89,83,-1
88,90,88,83,-2
88,89,91,83,-1
88,89,93,82,-1
88,90,89,82,-2
88,91,89,81,-3
88,90,92,81,-2
88,90,90,80,-2
88,91,90,79,-3
88,90,89,79,-2
88,91,88,78,-3
88,90,88,78,-2
88,89,91,77,-1
88,90,88,77,-2
88,90,87,76,-2
88,89,90,76,-1
88,89,87,76,-1
88,88,87,79,0
88,88,89,79,0
88,88,92,79,0
88,88,93,79,0
88,89,93,79,-1
88,90,91,79,-2
88,90,93,78,-2
88,90,93,78,-2
88,91,91,77,-3
88,91,89,76,-3
88,91,91,76,-3
88,90,91,75,-2
88,90,91,75,-2
88,90,91,74,-2
88,90,89,74,-2
88,90,89,73,-2
88,90,87,73,-2
88,89,89,72,-1
88,88,88,75,0
88,88,93,75,0
88,88,92,75,0
88,89,91,75,-1
88,89,91,75,-1
88,90,91,74,-2
88,89,91,74,-1
88,89,89,74,-1
88,89,90,73,-1
88,89,87,73,-1
88,88,91,74,0
88,89,90,74,-1
88,89,89,74,-1
88,88,89,74,0
88,88,92,74,0
88,89,82,127,-1
88,88,78,127,0
88,85,80,127,0
88,83,77,127,0
88,82,71,127,0
88,79,69,127,0
88,77,73,75,10
88,75,75,127,10
88,75,74,127,10
88,74,79,127,10
88,74,78,127,10
88,73,77,127,10
88,74,79,127,10
88,73,80,127,10
88,74,80,127,10
88,75,79,127,10
88,75,83,127,10
88,76,82,127,10
88,77,79,127,10
88,77,80,127,10
88,77,81,127,10
88,78,81,127,10
88,78,80,127,10
88,78,82,127,10
88,79,81,127,10
88,79,81,77,8
88,79,85,79,8
88,79,81,81,8
88,80,78,83,7
88,79,81,85,8
88,79,84,87,8
88,80,81,88,7
88,79,84,90,8
88,80,90,92,7
88,82,92,93,5
88,83,93,94,4
88,86,92,95,1
88,86,91,95,1
88,87,89,87,0
88,87,90,87,0
88,88,89,87,0
88,89,85,87,-1
